Temperature,Experimental Group,Use Case,Sentence,Objective,Pattern,Accuracy,Min,Max,Precision,Count
UCR26a,treatment,UC1-Health,9.0,pr,1.0,0.9955411553382874,0.9948294162750244,0.9962528944015503,0.9992760935756502,30
UCR26a,treatment,UC1-Health,10.0,ay,1.0,0.9864293813705445,0.9815161824226379,0.9883347153663635,0.9974110055655299,15
UCR26a,treatment,UC1-Mobile,1.0,ay,1.0,0.9064730405807495,0.8013092279434204,0.9855483770370483,0.9016281219877786,7
UCR26a,treatment,UC1-Mobile,1.0,c,1.0,0.9821584065755208,0.9133627414703369,0.9995071887969971,0.9643943199756205,15
UCR26a,treatment,UC1-Mobile,1.0,i,2.0,0.8488774469920567,0.802078127861023,0.883976936340332,0.9562232454693441,7
UCR26a,treatment,UC1-Mobile,1.0,ia,2.0,0.7669625878334045,0.7669625878334045,0.7669625878334045,1.0,7
UCR26a,treatment,UC1-Mobile,2.0,ay,1.0,0.8958825270334879,0.8859851956367493,0.963782787322998,0.9775123944261818,15
UCR26a,treatment,UC1-Mobile,2.0,c,1.0,0.9140689134597778,0.8907815217971802,0.999282717704773,0.955844150388859,15
UCR26a,treatment,UC1-Mobile,2.0,ia,2.0,0.6180128206809362,0.5118990540504456,0.6820166110992432,0.935359156112009,12
UCR26a,treatment,UC1-Mobile,3.0,ay,1.0,0.8684752099215984,0.8315552473068237,0.8940473794937134,0.9757852332839013,16
UCR26a,treatment,UC1-Mobile,3.0,c,1.0,0.8790686366458734,0.8209824562072754,0.9259839057922363,0.9634854437772671,48
UCR26a,treatment,UC1-Mobile,3.0,i,2.0,0.8615320410047259,0.8398025631904602,0.8994026780128479,0.9774274747818452,7
UCR26a,treatment,UC1-Mobile,3.0,ia,2.0,0.7803490797678629,0.7714163064956665,0.9004025459289551,0.9667811535887036,15
UCR26a,treatment,UC1-Mobile,4.0,ay,1.0,0.9244269212086995,0.89975506067276,0.9351962208747864,0.9899422476752018,15
UCR26a,treatment,UC1-Mobile,4.0,c,1.0,0.8799149182107714,0.7723089456558228,0.9259839057922363,0.9612105394873905,45
UCR26a,treatment,UC1-Mobile,4.0,i,2.0,0.9369708829455905,0.9291521310806274,0.9467443227767944,0.9907281008676352,9
UCR26a,treatment,UC1-Mobile,4.0,ia,2.0,0.7802378495534261,0.7714163064956665,0.9004025459289551,0.9667523114588454,15
UCR26a,treatment,UC1-Mobile,5.0,ay,1.0,0.9933446645736694,0.9933446645736694,0.9933446645736694,1.0,15
UCR26a,treatment,UC1-Mobile,5.0,c,1.0,0.9991285522778829,0.9990584254264832,0.999687671661377,0.9998424055867287,15
UCR26a,treatment,UC1-Mobile,5.0,i,2.0,0.9757428169250488,0.9757428169250488,0.9757428169250488,1.0,15
UCR26a,treatment,UC1-Mobile,5.0,ia,2.0,0.810771107673645,0.8087936639785767,0.8112654685974121,0.998976575657871,15
UCR26a,treatment,UC1-Mobile,6.0,ay,3.0,0.8041019439697266,0.7967784404754639,0.8114254474639893,0.989643002034327,2
UCR26a,treatment,UC1-Mobile,6.0,c,1.0,0.8265833298365275,0.7922682762145996,0.8421480655670166,0.9827162129886831,15
UCR26a,treatment,UC1-Mobile,6.0,i,1.0,0.8893327875570818,0.7458831071853638,0.9718304872512817,0.8862643944244689,11
UCR26a,treatment,UC1-Mobile,7.0,c,1.0,0.997689978281657,0.9883215427398682,1.0,0.995670836371319,15
UCR26a,treatment,UC1-Mobile,8.0,ay,1.0,0.993262936671575,0.9931666851043701,0.9943217039108276,0.9996665747905863,12
UCR26a,treatment,UC1-Mobile,8.0,c,1.0,0.9956715027491252,0.9636963605880737,0.9979554414749146,0.9911543433512595,15
UCR26a,treatment,UC1-Mobile,9.0,ay,1.0,0.9698589663756522,0.8580509424209595,0.9965642094612122,0.9580035203245245,19
UCR26a,treatment,UC1-Mobile,9.0,c,1.0,0.9019665718078613,0.9019665718078613,0.9019665718078613,1.0,15
UCR26a,treatment,UC2-Health,1.0,c,1.0,1.000000238418579,1.000000238418579,1.000000238418579,1.0,15
UCR26a,treatment,UC2-Health,1.0,pr,1.0,0.9999269568003141,0.9990504384040833,1.0,0.9997366389982085,13
UCR26a,treatment,UC2-Health,2.0,ay,1.0,0.9606152772903442,0.9606152772903442,0.9606152772903442,1.0,15
UCR26a,treatment,UC2-Health,3.0,ay,1.0,0.9444643259048462,0.9444643259048462,0.9444643259048462,1.0,15
UCR26a,treatment,UC2-Health,3.0,c,1.0,0.9277596473693848,0.9277596473693848,0.9277596473693848,1.0,15
UCR26a,treatment,UC2-Health,3.0,pr,1.0,0.9214970469474792,0.9214970469474792,0.9214970469474792,1.0,12
UCR26a,treatment,UC2-Health,4.0,c,1.0,0.9739516377449036,0.9739516377449036,0.9739516377449036,1.0,15
UCR26a,treatment,UC2-Health,5.0,ay,1.0,0.890063688158989,0.8660387992858887,0.9113820791244507,0.9861287551676479,12
UCR26a,treatment,UC2-Health,5.0,c,1.0,0.9171750363376405,0.6576387882232666,0.9959388971328735,0.8876325428353399,36
UCR26a,treatment,UC2-Health,5.0,pr,1.0,0.9530933856964111,0.8864665031433105,0.9936094284057617,0.9602886985606766,5
UCR26a,treatment,UC2-Health,6.0,ay,1.0,0.9868825674057007,0.9183920621871948,0.9970663785934448,0.9809959169122782,15
UCR26a,treatment,UC2-Health,6.0,c,1.0,0.9805793364842735,0.9417377710342407,1.00000011920929,0.9715708850829083,15
UCR26a,treatment,UC2-Health,8.0,ay,1.0,0.9933323462804159,0.9840869307518005,0.9999998807907104,0.9967034841267752,15
UCR26a,treatment,UC2-Health,8.0,c,1.0,0.9886807680130005,0.986818790435791,0.9955431222915649,0.9980207031732782,15
UCR26a,treatment,UC2-Health,8.0,pr,1.0,0.9811839205878121,0.9492923021316528,0.989936351776123,0.9890903607418547,14
UCR26a,treatment,UC2-Health,9.0,ay,1.0,0.9975278019905095,0.9629153609275818,1.00000011920929,0.9904247565851211,15
UCR26a,treatment,UC2-Health,9.0,c,1.0,0.9996713479359944,0.9950710535049438,0.9999999403953552,0.9987273668772064,15
UCR26a,treatment,UC2-Health,9.0,pr,1.0,0.9999349514643351,0.9990251064300537,0.9999999403953552,0.9997482989524713,15
UCR26a,treatment,UC2-Mobile,1.0,ay,1.0,0.9896451274553935,0.9801165461540222,1.00000011920929,0.9917662061197721,15
UCR26a,treatment,UC2-Mobile,1.0,c,1.0,0.9994252602259318,0.999336838722229,1.0,0.9997666562428651,15
UCR26a,treatment,UC2-Mobile,1.0,ia,2.0,0.9266442020734151,0.9136110544204712,0.9466192722320557,0.987751456296338,15
UCR26a,treatment,UC2-Mobile,2.0,c,1.0,0.9256648527724403,0.8401103615760803,0.9990568161010742,0.9197175496551189,28
UCR26a,treatment,UC2-Mobile,2.0,ia,2.0,0.9524785280227661,0.9524785280227661,0.9524785280227661,1.0,15
UCR26a,treatment,UC2-Mobile,3.0,c,1.0,0.9227472523163105,0.8401103615760803,0.9990568161010742,0.9196137889072918,29
UCR26a,treatment,UC2-Mobile,3.0,ia,2.0,0.9524785280227661,0.9524785280227661,0.9524785280227661,1.0,15
UCR26a,treatment,UC2-Mobile,4.0,ay,1.0,0.8849467188119888,0.8686826229095459,0.892667829990387,0.9924268872459319,16
